class,metric,before,after,delta
person,Precision,0.637746,0.796721,+0.158976
person,Recall,0.430000,0.690000,+0.260000
person,F1,0.513663,0.739530,+0.225867
person,mAP@0.5,0.488507,0.774143,+0.285635
person,mAP@0.5:0.95,0.228620,0.412431,+0.183811
bicycle,Precision,0.259067,0.802985,+0.543918
bicycle,Recall,0.100000,0.830000,+0.730000
bicycle,F1,0.144300,0.816269,+0.671969
bicycle,mAP@0.5,0.073255,0.879077,+0.805821
bicycle,mAP@0.5:0.95,0.028571,0.502977,+0.474406
car,Precision,0.861873,0.939897,+0.078024
car,Recall,0.710000,0.900000,+0.190000
car,F1,0.778600,0.919516,+0.140916
car,mAP@0.5,0.801560,0.946492,+0.144932
car,mAP@0.5:0.95,0.518638,0.702008,+0.183370
motorcycle,Precision,0.250000,0.705882,+0.455882
motorcycle,Recall,0.370000,0.750000,+0.380000
motorcycle,F1,0.298387,0.727273,+0.428886
motorcycle,mAP@0.5,0.162546,0.715807,+0.553261
motorcycle,mAP@0.5:0.95,0.082948,0.429445,+0.346496
bus,Precision,0.857143,0.972973,+0.115830
bus,Recall,0.480000,0.970000,+0.490000
bus,F1,0.615385,0.971484,+0.356100
bus,mAP@0.5,0.560440,0.972238,+0.411798
bus,mAP@0.5:0.95,0.474563,0.803389,+0.328826
truck,Precision,0.032567,0.892308,+0.859741
truck,Recall,0.470000,0.810000,+0.340000
truck,F1,0.060913,0.849164,+0.788251
truck,mAP@0.5,0.024471,0.868553,+0.844081
truck,mAP@0.5:0.95,0.015824,0.681853,+0.666028
license_plate,Precision,0.000281,0.846361,+0.846080
license_plate,Recall,0.000000,0.720000,+0.720000
license_plate,F1,0.000000,0.778084,+0.778084
license_plate,mAP@0.5,0.000003,0.764897,+0.764894
license_plate,mAP@0.5:0.95,0.000002,0.370242,+0.370240
