class,metric,before,after,delta
person,Precision,0.779141,0.797566,+0.018425
person,Recall,0.500000,0.710000,+0.210000
person,F1,0.609113,0.751240,+0.142127
person,mAP@0.5,0.601104,0.772918,+0.171814
person,mAP@0.5:0.95,0.302067,0.418763,+0.116697
bicycle,Precision,1.000000,1.000000,+0.000000
bicycle,Recall,0.800000,0.800000,+0.000000
bicycle,F1,0.888889,0.888889,+0.000000
bicycle,mAP@0.5,0.805634,0.805292,-0.000342
bicycle,mAP@0.5:0.95,0.341746,0.469148,+0.127402
car,Precision,0.892581,0.965229,+0.072648
car,Recall,0.830000,0.930000,+0.100000
car,F1,0.860154,0.947287,+0.087133
car,mAP@0.5,0.889652,0.959334,+0.069682
car,mAP@0.5:0.95,0.607206,0.727038,+0.119831
motorcycle,Precision,0.000000,0.000000,+0.000000
motorcycle,Recall,0.000000,0.000000,+0.000000
motorcycle,F1,0.000000,0.000000,+0.000000
motorcycle,mAP@0.5,0.000000,0.000000,+0.000000
motorcycle,mAP@0.5:0.95,0.000000,0.000000,+0.000000
bus,Precision,1.000000,1.000000,+0.000000
bus,Recall,0.600000,1.000000,+0.400000
bus,F1,0.750000,1.000000,+0.250000
bus,mAP@0.5,0.723850,1.000000,+0.276150
bus,mAP@0.5:0.95,0.583849,0.855693,+0.271844
truck,Precision,0.111111,0.705882,+0.594771
truck,Recall,0.700000,0.700000,+0.000000
truck,F1,0.191781,0.702929,+0.511148
truck,mAP@0.5,0.081452,0.591347,+0.509895
truck,mAP@0.5:0.95,0.062849,0.498002,+0.435153
license_plate,Precision,0.000000,0.600000,+0.600000
license_plate,Recall,0.000000,0.420000,+0.420000
license_plate,F1,0.000000,0.494118,+0.494118
license_plate,mAP@0.5,0.000000,0.427136,+0.427136
license_plate,mAP@0.5:0.95,0.000000,0.154235,+0.154235
