class,metric,before,after,delta
person,Precision,0.777565,0.812296,+0.034731
person,Recall,0.510000,0.780000,+0.270000
person,F1,0.615981,0.795820,+0.179839
person,mAP@0.5,0.614139,0.840322,+0.226183
person,mAP@0.5:0.95,0.300075,0.467845,+0.167770
bicycle,Precision,0.777778,1.000000,+0.222222
bicycle,Recall,0.770000,0.880000,+0.110000
bicycle,F1,0.773869,0.936170,+0.162301
bicycle,mAP@0.5,0.735108,0.937467,+0.202360
bicycle,mAP@0.5:0.95,0.378364,0.563818,+0.185454
car,Precision,0.883664,0.954381,+0.070717
car,Recall,0.820000,0.940000,+0.120000
car,F1,0.850642,0.947136,+0.096493
car,mAP@0.5,0.875802,0.963381,+0.087579
car,mAP@0.5:0.95,0.591000,0.729204,+0.138204
motorcycle,Precision,0.047619,1.000000,+0.952381
motorcycle,Recall,0.500000,0.500000,+0.000000
motorcycle,F1,0.086957,0.666667,+0.579710
motorcycle,mAP@0.5,0.024045,0.509218,+0.485173
motorcycle,mAP@0.5:0.95,0.014635,0.255044,+0.240410
bus,Precision,1.000000,1.000000,+0.000000
bus,Recall,0.720000,1.000000,+0.280000
bus,F1,0.837209,1.000000,+0.162791
bus,mAP@0.5,0.855067,1.000000,+0.144933
bus,mAP@0.5:0.95,0.628005,0.839685,+0.211680
truck,Precision,0.086022,0.781250,+0.695228
truck,Recall,0.530000,0.830000,+0.300000
truck,F1,0.148019,0.804888,+0.656869
truck,mAP@0.5,0.060330,0.791115,+0.730785
truck,mAP@0.5:0.95,0.043492,0.643445,+0.599953
license_plate,Precision,0.000835,0.692639,+0.691805
license_plate,Recall,0.000000,0.570000,+0.570000
license_plate,F1,0.000000,0.625364,+0.625364
license_plate,mAP@0.5,0.000008,0.596444,+0.596436
license_plate,mAP@0.5:0.95,0.000007,0.228399,+0.228391
