class,metric,before,after,delta
person,Precision,0.620963,0.713003,+0.092040
person,Recall,0.410000,0.600000,+0.190000
person,F1,0.493897,0.651639,+0.157742
person,mAP@0.5,0.467039,0.674640,+0.207601
person,mAP@0.5:0.95,0.218086,0.340862,+0.122776
bicycle,Precision,0.186147,0.748276,+0.562129
bicycle,Recall,0.050000,0.780000,+0.730000
bicycle,F1,0.078827,0.763809,+0.684982
bicycle,mAP@0.5,0.038186,0.826045,+0.787859
bicycle,mAP@0.5:0.95,0.017662,0.448567,+0.430905
car,Precision,0.867163,0.919739,+0.052576
car,Recall,0.720000,0.900000,+0.180000
car,F1,0.786759,0.909762,+0.123004
car,mAP@0.5,0.810677,0.935923,+0.125246
car,mAP@0.5:0.95,0.540508,0.686052,+0.145544
motorcycle,Precision,0.200000,0.538462,+0.338462
motorcycle,Recall,0.220000,0.770000,+0.550000
motorcycle,F1,0.209524,0.633745,+0.424221
motorcycle,mAP@0.5,0.163897,0.643429,+0.479531
motorcycle,mAP@0.5:0.95,0.107928,0.375740,+0.267813
bus,Precision,0.833333,0.947368,+0.114035
bus,Recall,0.470000,0.850000,+0.380000
bus,F1,0.601023,0.896047,+0.295024
bus,mAP@0.5,0.510587,0.873632,+0.363045
bus,mAP@0.5:0.95,0.380231,0.651687,+0.271456
truck,Precision,0.029666,0.788462,+0.758795
truck,Recall,0.460000,0.780000,+0.320000
truck,F1,0.055738,0.784208,+0.728470
truck,mAP@0.5,0.019972,0.826892,+0.806919
truck,mAP@0.5:0.95,0.013790,0.620918,+0.607128
license_plate,Precision,0.000000,0.816163,+0.816163
license_plate,Recall,0.000000,0.610000,+0.610000
license_plate,F1,0.000000,0.698180,+0.698180
license_plate,mAP@0.5,0.000000,0.663526,+0.663526
license_plate,mAP@0.5:0.95,0.000000,0.297106,+0.297106
