class,metric,before,after,delta
person,Precision,0.648634,0.815813,+0.167179
person,Recall,0.450000,0.700000,+0.250000
person,F1,0.531360,0.753482,+0.222122
person,mAP@0.5,0.504856,0.791971,+0.287115
person,mAP@0.5:0.95,0.241394,0.449195,+0.207801
bicycle,Precision,0.777778,0.726984,-0.050794
bicycle,Recall,0.020000,0.820000,+0.800000
bicycle,F1,0.038997,0.770696,+0.731698
bicycle,mAP@0.5,0.029005,0.828959,+0.799954
bicycle,mAP@0.5:0.95,0.017606,0.468523,+0.450916
car,Precision,0.868154,0.944153,+0.075999
car,Recall,0.760000,0.920000,+0.160000
car,F1,0.810485,0.931920,+0.121435
car,mAP@0.5,0.835183,0.952004,+0.116820
car,mAP@0.5:0.95,0.564843,0.725931,+0.161088
motorcycle,Precision,0.111111,0.750000,+0.638889
motorcycle,Recall,0.330000,1.000000,+0.670000
motorcycle,F1,0.166247,0.857143,+0.690896
motorcycle,mAP@0.5,0.067107,0.915842,+0.848735
motorcycle,mAP@0.5:0.95,0.040451,0.573465,+0.533014
bus,Precision,0.875000,1.000000,+0.125000
bus,Recall,0.630000,0.900000,+0.270000
bus,F1,0.732558,0.947368,+0.214810
bus,mAP@0.5,0.738376,0.984768,+0.246392
bus,mAP@0.5:0.95,0.630051,0.907540,+0.277489
truck,Precision,0.038278,0.787234,+0.748957
truck,Recall,0.410000,0.940000,+0.530000
truck,F1,0.070018,0.856861,+0.786843
truck,mAP@0.5,0.023618,0.892825,+0.869207
truck,mAP@0.5:0.95,0.016557,0.694195,+0.677638
license_plate,Precision,0.000000,0.827374,+0.827374
license_plate,Recall,0.000000,0.700000,+0.700000
license_plate,F1,0.000000,0.758376,+0.758376
license_plate,mAP@0.5,0.000000,0.745713,+0.745713
license_plate,mAP@0.5:0.95,0.000000,0.340365,+0.340365
