class,metric,before,after,delta
person,Precision,0.735376,0.838788,+0.103412
person,Recall,0.520000,0.680000,+0.160000
person,F1,0.609213,0.751093,+0.141881
person,mAP@0.5,0.596219,0.773963,+0.177743
person,mAP@0.5:0.95,0.300154,0.421313,+0.121159
bicycle,Precision,1.000000,1.000000,+0.000000
bicycle,Recall,0.800000,0.800000,+0.000000
bicycle,F1,0.888889,0.888889,+0.000000
bicycle,mAP@0.5,0.803714,0.810096,+0.006382
bicycle,mAP@0.5:0.95,0.340479,0.438197,+0.097717
car,Precision,0.907341,0.957857,+0.050516
car,Recall,0.820000,0.930000,+0.110000
car,F1,0.861462,0.943723,+0.082261
car,mAP@0.5,0.888590,0.958412,+0.069822
car,mAP@0.5:0.95,0.606844,0.724806,+0.117961
motorcycle,Precision,0.000000,0.000000,+0.000000
motorcycle,Recall,0.000000,0.000000,+0.000000
motorcycle,F1,0.000000,0.000000,+0.000000
motorcycle,mAP@0.5,0.000000,0.000000,+0.000000
motorcycle,mAP@0.5:0.95,0.000000,0.000000,+0.000000
bus,Precision,1.000000,1.000000,+0.000000
bus,Recall,0.600000,1.000000,+0.400000
bus,F1,0.750000,1.000000,+0.250000
bus,mAP@0.5,0.743770,1.000000,+0.256230
bus,mAP@0.5:0.95,0.600433,0.855613,+0.255181
truck,Precision,0.108108,0.700000,+0.591892
truck,Recall,0.700000,0.820000,+0.120000
truck,F1,0.187291,0.755263,+0.567972
truck,mAP@0.5,0.079307,0.664332,+0.585025
truck,mAP@0.5:0.95,0.061428,0.571614,+0.510185
license_plate,Precision,0.015385,0.695200,+0.679815
license_plate,Recall,0.000000,0.360000,+0.360000
license_plate,F1,0.000000,0.474359,+0.474359
license_plate,mAP@0.5,0.000152,0.417722,+0.417570
license_plate,mAP@0.5:0.95,0.000107,0.149220,+0.149113
