class,metric,before,after,delta
person,Precision,0.626077,0.771128,+0.145051
person,Recall,0.430000,0.680000,+0.250000
person,F1,0.509836,0.722703,+0.212867
person,mAP@0.5,0.483491,0.756330,+0.272839
person,mAP@0.5:0.95,0.226545,0.399381,+0.172836
bicycle,Precision,0.187608,0.797284,+0.609677
bicycle,Recall,0.110000,0.840000,+0.730000
bicycle,F1,0.138685,0.818085,+0.679400
bicycle,mAP@0.5,0.071136,0.869113,+0.797977
bicycle,mAP@0.5:0.95,0.027611,0.477706,+0.450096
car,Precision,0.865956,0.933009,+0.067053
car,Recall,0.710000,0.900000,+0.190000
car,F1,0.780261,0.916207,+0.135946
car,mAP@0.5,0.799889,0.942546,+0.142656
car,mAP@0.5:0.95,0.517840,0.692494,+0.174655
motorcycle,Precision,0.500000,0.875000,+0.375000
motorcycle,Recall,0.160000,0.580000,+0.420000
motorcycle,F1,0.242424,0.697595,+0.455170
motorcycle,mAP@0.5,0.109476,0.704545,+0.595070
motorcycle,mAP@0.5:0.95,0.066541,0.414238,+0.347697
bus,Precision,0.833333,0.971429,+0.138095
bus,Recall,0.440000,1.000000,+0.560000
bus,F1,0.575916,0.985507,+0.409591
bus,mAP@0.5,0.517801,0.997454,+0.479653
bus,mAP@0.5:0.95,0.398125,0.787762,+0.389637
truck,Precision,0.032598,0.893939,+0.861341
truck,Recall,0.480000,0.840000,+0.360000
truck,F1,0.061050,0.866131,+0.805080
truck,mAP@0.5,0.024744,0.911314,+0.886571
truck,mAP@0.5:0.95,0.016043,0.706873,+0.690830
license_plate,Precision,0.002815,0.826679,+0.823865
license_plate,Recall,0.010000,0.700000,+0.690000
license_plate,F1,0.004393,0.758084,+0.753691
license_plate,mAP@0.5,0.000102,0.742033,+0.741931
license_plate,mAP@0.5:0.95,0.000047,0.351145,+0.351098
