class,metric,before,after,delta
person,Precision,0.582406,0.764433,+0.182027
person,Recall,0.390000,0.670000,+0.280000
person,F1,0.467168,0.714108,+0.246940
person,mAP@0.5,0.383382,0.753801,+0.370419
person,mAP@0.5:0.95,0.184351,0.400699,+0.216347
bicycle,Precision,0.027397,0.847578,+0.820181
bicycle,Recall,0.090000,0.810000,+0.720000
bicycle,F1,0.042007,0.828363,+0.786356
bicycle,mAP@0.5,0.014500,0.885658,+0.871158
bicycle,mAP@0.5:0.95,0.010426,0.543712,+0.533286
car,Precision,0.876373,0.956998,+0.080625
car,Recall,0.750000,0.920000,+0.170000
car,F1,0.808277,0.938134,+0.129858
car,mAP@0.5,0.797176,0.957057,+0.159881
car,mAP@0.5:0.95,0.541894,0.741489,+0.199596
motorcycle,Precision,0.052632,1.000000,+0.947368
motorcycle,Recall,0.330000,0.330000,+0.000000
motorcycle,F1,0.090784,0.496241,+0.405457
motorcycle,mAP@0.5,0.017718,0.445545,+0.427827
motorcycle,mAP@0.5:0.95,0.010631,0.300990,+0.290360
bus,Precision,1.000000,1.000000,+0.000000
bus,Recall,0.540000,1.000000,+0.460000
bus,F1,0.701299,1.000000,+0.298701
bus,mAP@0.5,0.726210,1.000000,+0.273790
bus,mAP@0.5:0.95,0.630254,0.922520,+0.292266
truck,Precision,0.022113,0.818182,+0.796069
truck,Recall,0.430000,0.870000,+0.440000
truck,F1,0.042063,0.843296,+0.801233
truck,mAP@0.5,0.014052,0.892322,+0.878271
truck,mAP@0.5:0.95,0.009623,0.704329,+0.694706
license_plate,Precision,0.000016,0.840818,+0.840803
license_plate,Recall,0.000000,0.740000,+0.740000
license_plate,F1,0.000000,0.787194,+0.787194
license_plate,mAP@0.5,0.000000,0.779991,+0.779991
license_plate,mAP@0.5:0.95,0.000000,0.384386,+0.384385
