class,metric,before,after,delta
person,Precision,0.627484,0.785235,+0.157751
person,Recall,0.430000,0.700000,+0.270000
person,F1,0.510302,0.740172,+0.229870
person,mAP@0.5,0.482636,0.779269,+0.296633
person,mAP@0.5:0.95,0.225217,0.421835,+0.196618
bicycle,Precision,0.191874,0.802517,+0.610643
bicycle,Recall,0.090000,0.880000,+0.790000
bicycle,F1,0.122527,0.839474,+0.716947
bicycle,mAP@0.5,0.058569,0.894769,+0.836200
bicycle,mAP@0.5:0.95,0.024090,0.526471,+0.502381
car,Precision,0.848824,0.941605,+0.092781
car,Recall,0.720000,0.910000,+0.190000
car,F1,0.779123,0.925533,+0.146410
car,mAP@0.5,0.801980,0.950174,+0.148195
car,mAP@0.5:0.95,0.521007,0.710290,+0.189283
motorcycle,Precision,0.142857,0.875000,+0.732143
motorcycle,Recall,0.200000,0.690000,+0.490000
motorcycle,F1,0.166667,0.771565,+0.604899
motorcycle,mAP@0.5,0.061732,0.671427,+0.609695
motorcycle,mAP@0.5:0.95,0.039481,0.399840,+0.360359
bus,Precision,0.800000,1.000000,+0.200000
bus,Recall,0.400000,0.960000,+0.560000
bus,F1,0.533333,0.979592,+0.446259
bus,mAP@0.5,0.469587,0.996400,+0.526813
bus,mAP@0.5:0.95,0.361254,0.791010,+0.429756
truck,Precision,0.033333,0.890625,+0.857292
truck,Recall,0.470000,0.830000,+0.360000
truck,F1,0.062252,0.859244,+0.796993
truck,mAP@0.5,0.024991,0.908116,+0.883125
truck,mAP@0.5:0.95,0.016132,0.705760,+0.689627
license_plate,Precision,0.002890,0.850311,+0.847421
license_plate,Recall,0.000000,0.720000,+0.720000
license_plate,F1,0.000000,0.779749,+0.779749
license_plate,mAP@0.5,0.000029,0.766409,+0.766380
license_plate,mAP@0.5:0.95,0.000023,0.373032,+0.373009
