class,metric,before,after,delta
person,Precision,0.620508,0.790176,+0.169668
person,Recall,0.430000,0.650000,+0.220000
person,F1,0.507980,0.713266,+0.205286
person,mAP@0.5,0.480958,0.747092,+0.266134
person,mAP@0.5:0.95,0.223698,0.392500,+0.168802
bicycle,Precision,0.221088,0.837237,+0.616148
bicycle,Recall,0.070000,0.780000,+0.710000
bicycle,F1,0.106333,0.807605,+0.701272
bicycle,mAP@0.5,0.054315,0.871228,+0.816913
bicycle,mAP@0.5:0.95,0.022662,0.487691,+0.465029
car,Precision,0.844901,0.933118,+0.088217
car,Recall,0.730000,0.910000,+0.180000
car,F1,0.783259,0.921414,+0.138155
car,mAP@0.5,0.805423,0.946753,+0.141330
car,mAP@0.5:0.95,0.528211,0.703547,+0.175336
motorcycle,Precision,0.166667,1.000000,+0.833333
motorcycle,Recall,0.220000,0.770000,+0.550000
motorcycle,F1,0.189655,0.870056,+0.680401
motorcycle,mAP@0.5,0.098086,0.792079,+0.693993
motorcycle,mAP@0.5:0.95,0.062876,0.407763,+0.344887
bus,Precision,0.785714,1.000000,+0.214286
bus,Recall,0.440000,0.800000,+0.360000
bus,F1,0.564103,0.888889,+0.324786
bus,mAP@0.5,0.506735,0.945685,+0.438950
bus,mAP@0.5:0.95,0.384282,0.789809,+0.405527
truck,Precision,0.030402,0.843750,+0.813348
truck,Recall,0.450000,0.870000,+0.420000
truck,F1,0.056956,0.856674,+0.799718
truck,mAP@0.5,0.022152,0.870044,+0.847892
truck,mAP@0.5:0.95,0.014113,0.641955,+0.627843
license_plate,Precision,0.006711,0.827466,+0.820754
license_plate,Recall,0.000000,0.700000,+0.700000
license_plate,F1,0.000000,0.758414,+0.758414
license_plate,mAP@0.5,0.000066,0.738749,+0.738683
license_plate,mAP@0.5:0.95,0.000060,0.351930,+0.351870
