class,metric,before,after,delta
person,Precision,0.574507,0.727139,+0.152631
person,Recall,0.410000,0.650000,+0.240000
person,F1,0.478509,0.686409,+0.207899
person,mAP@0.5,0.449580,0.722292,+0.272711
person,mAP@0.5:0.95,0.206382,0.370000,+0.163618
bicycle,Precision,0.015819,0.769811,+0.753992
bicycle,Recall,0.160000,0.820000,+0.660000
bicycle,F1,0.028792,0.794113,+0.765322
bicycle,mAP@0.5,0.012970,0.857184,+0.844215
bicycle,mAP@0.5:0.95,0.009766,0.488184,+0.478418
car,Precision,0.879444,0.948476,+0.069031
car,Recall,0.740000,0.910000,+0.170000
car,F1,0.803719,0.928840,+0.125121
car,mAP@0.5,0.828393,0.953221,+0.124827
car,mAP@0.5:0.95,0.561512,0.727693,+0.166181
motorcycle,Precision,0.111111,1.000000,+0.888889
motorcycle,Recall,0.330000,0.330000,+0.000000
motorcycle,F1,0.166247,0.496241,+0.329994
motorcycle,mAP@0.5,0.037520,0.339491,+0.301971
motorcycle,mAP@0.5:0.95,0.022489,0.237110,+0.214622
bus,Precision,0.800000,1.000000,+0.200000
bus,Recall,0.660000,1.000000,+0.340000
bus,F1,0.723288,1.000000,+0.276712
bus,mAP@0.5,0.665268,1.000000,+0.334732
bus,mAP@0.5:0.95,0.485691,0.805755,+0.320064
truck,Precision,0.024502,0.813953,+0.789451
truck,Recall,0.390000,0.850000,+0.460000
truck,F1,0.046108,0.831586,+0.785478
truck,mAP@0.5,0.014818,0.817986,+0.803168
truck,mAP@0.5:0.95,0.010329,0.649704,+0.639374
license_plate,Precision,0.000080,0.832298,+0.832218
license_plate,Recall,0.000000,0.700000,+0.700000
license_plate,F1,0.000000,0.760438,+0.760438
license_plate,mAP@0.5,0.000001,0.749342,+0.749341
license_plate,mAP@0.5:0.95,0.000000,0.350616,+0.350616
