class,metric,before,after,delta
person,Precision,0.713528,0.773098,+0.059570
person,Recall,0.530000,0.560000,+0.030000
person,F1,0.608221,0.649517,+0.041296
person,mAP@0.5,0.597383,0.640414,+0.043030
person,mAP@0.5:0.95,0.300648,0.325502,+0.024854
bicycle,Precision,1.000000,1.000000,+0.000000
bicycle,Recall,0.800000,0.800000,+0.000000
bicycle,F1,0.888889,0.888889,+0.000000
bicycle,mAP@0.5,0.805491,0.807391,+0.001899
bicycle,mAP@0.5:0.95,0.341678,0.383395,+0.041717
car,Precision,0.904465,0.946437,+0.041973
car,Recall,0.820000,0.850000,+0.030000
car,F1,0.860164,0.895630,+0.035466
car,mAP@0.5,0.889135,0.917479,+0.028344
car,mAP@0.5:0.95,0.607259,0.649172,+0.041913
motorcycle,Precision,0.000000,0.000000,+0.000000
motorcycle,Recall,0.000000,0.000000,+0.000000
motorcycle,F1,0.000000,0.000000,+0.000000
motorcycle,mAP@0.5,0.000000,0.000000,+0.000000
motorcycle,mAP@0.5:0.95,0.000000,0.000000,+0.000000
bus,Precision,1.000000,1.000000,+0.000000
bus,Recall,0.600000,0.800000,+0.200000
bus,F1,0.750000,0.888889,+0.138889
bus,mAP@0.5,0.743254,0.801980,+0.058726
bus,mAP@0.5:0.95,0.600175,0.572772,-0.027402
truck,Precision,0.111111,0.275000,+0.163889
truck,Recall,0.700000,0.640000,-0.060000
truck,F1,0.191781,0.384699,+0.192919
truck,mAP@0.5,0.081446,0.181693,+0.100247
truck,mAP@0.5:0.95,0.063433,0.125814,+0.062381
license_plate,Precision,0.000000,0.000415,+0.000415
license_plate,Recall,0.000000,0.000000,+0.000000
license_plate,F1,0.000000,0.000000,+0.000000
license_plate,mAP@0.5,0.000000,0.000004,+0.000004
license_plate,mAP@0.5:0.95,0.000000,0.000002,+0.000002
