class,metric,before,after,delta
person,Precision,0.630107,0.764525,+0.134419
person,Recall,0.430000,0.680000,+0.250000
person,F1,0.511167,0.719790,+0.208623
person,mAP@0.5,0.486593,0.752129,+0.265536
person,mAP@0.5:0.95,0.226510,0.394711,+0.168201
bicycle,Precision,0.235294,0.783302,+0.548008
bicycle,Recall,0.100000,0.840000,+0.740000
bicycle,F1,0.140351,0.810661,+0.670310
bicycle,mAP@0.5,0.073762,0.858091,+0.784329
bicycle,mAP@0.5:0.95,0.028629,0.469479,+0.440850
car,Precision,0.855143,0.932218,+0.077076
car,Recall,0.720000,0.900000,+0.180000
car,F1,0.781774,0.915826,+0.134052
car,mAP@0.5,0.801461,0.944335,+0.142874
car,mAP@0.5:0.95,0.518587,0.692672,+0.174086
motorcycle,Precision,0.250000,1.000000,+0.750000
motorcycle,Recall,0.370000,0.560000,+0.190000
motorcycle,F1,0.298387,0.717949,+0.419562
motorcycle,mAP@0.5,0.152566,0.663706,+0.511140
motorcycle,mAP@0.5:0.95,0.075498,0.377534,+0.302036
bus,Precision,0.958333,0.977273,+0.018939
bus,Recall,0.510000,0.950000,+0.440000
bus,F1,0.665721,0.963443,+0.297723
bus,mAP@0.5,0.618922,0.991908,+0.372986
bus,mAP@0.5:0.95,0.531797,0.819480,+0.287683
truck,Precision,0.032520,0.797468,+0.764948
truck,Recall,0.480000,0.850000,+0.370000
truck,F1,0.060914,0.822897,+0.761983
truck,mAP@0.5,0.024827,0.850536,+0.825710
truck,mAP@0.5:0.95,0.016436,0.660091,+0.643655
license_plate,Precision,0.000047,0.827208,+0.827161
license_plate,Recall,0.000000,0.700000,+0.700000
license_plate,F1,0.000000,0.758306,+0.758306
license_plate,mAP@0.5,0.000000,0.736810,+0.736810
license_plate,mAP@0.5:0.95,0.000000,0.348482,+0.348482
