class,metric,before,after,delta
person,Precision,0.641474,0.783242,+0.141768
person,Recall,0.430000,0.660000,+0.230000
person,F1,0.514868,0.716359,+0.201491
person,mAP@0.5,0.490416,0.742708,+0.252292
person,mAP@0.5:0.95,0.229355,0.391603,+0.162248
bicycle,Precision,0.250000,0.794897,+0.544897
bicycle,Recall,0.110000,0.810000,+0.700000
bicycle,F1,0.152778,0.802377,+0.649600
bicycle,mAP@0.5,0.075094,0.854705,+0.779611
bicycle,mAP@0.5:0.95,0.029084,0.457920,+0.428836
car,Precision,0.858636,0.934896,+0.076260
car,Recall,0.700000,0.890000,+0.190000
car,F1,0.771245,0.911896,+0.140651
car,mAP@0.5,0.793522,0.940673,+0.147152
car,mAP@0.5:0.95,0.510425,0.685689,+0.175264
motorcycle,Precision,0.250000,0.846154,+0.596154
motorcycle,Recall,0.330000,0.610000,+0.280000
motorcycle,F1,0.284483,0.708928,+0.424445
motorcycle,mAP@0.5,0.157883,0.587572,+0.429690
motorcycle,mAP@0.5:0.95,0.081581,0.271216,+0.189635
bus,Precision,0.904762,0.935484,+0.030722
bus,Recall,0.590000,0.900000,+0.310000
bus,F1,0.714240,0.917399,+0.203159
bus,mAP@0.5,0.678585,0.938570,+0.259985
bus,mAP@0.5:0.95,0.568463,0.792629,+0.224167
truck,Precision,0.033737,0.797872,+0.764135
truck,Recall,0.490000,0.940000,+0.450000
truck,F1,0.063128,0.863124,+0.799997
truck,mAP@0.5,0.025378,0.926480,+0.901102
truck,mAP@0.5:0.95,0.016869,0.719255,+0.702386
license_plate,Precision,0.001967,0.830830,+0.828863
license_plate,Recall,0.000000,0.690000,+0.690000
license_plate,F1,0.000000,0.753894,+0.753894
license_plate,mAP@0.5,0.000019,0.734201,+0.734181
license_plate,mAP@0.5:0.95,0.000018,0.342956,+0.342939
