class,metric,before,after,delta
person,Precision,0.629546,0.762525,+0.132979
person,Recall,0.410000,0.710000,+0.300000
person,F1,0.496590,0.735326,+0.238736
person,mAP@0.5,0.464245,0.771617,+0.307372
person,mAP@0.5:0.95,0.218814,0.419950,+0.201136
bicycle,Precision,0.148760,0.841151,+0.692391
bicycle,Recall,0.080000,0.880000,+0.800000
bicycle,F1,0.104046,0.860137,+0.756091
bicycle,mAP@0.5,0.055289,0.906344,+0.851055
bicycle,mAP@0.5:0.95,0.022310,0.534096,+0.511785
car,Precision,0.840487,0.947687,+0.107201
car,Recall,0.750000,0.910000,+0.160000
car,F1,0.792669,0.928461,+0.135792
car,mAP@0.5,0.806707,0.952026,+0.145320
car,mAP@0.5:0.95,0.531261,0.720903,+0.189642
motorcycle,Precision,0.142857,0.875000,+0.732143
motorcycle,Recall,0.220000,0.770000,+0.550000
motorcycle,F1,0.173228,0.819149,+0.645921
motorcycle,mAP@0.5,0.077392,0.773949,+0.696557
motorcycle,mAP@0.5:0.95,0.046287,0.444422,+0.398135
bus,Precision,1.000000,0.958333,-0.041667
bus,Recall,0.430000,1.000000,+0.570000
bus,F1,0.601399,0.978723,+0.377325
bus,mAP@0.5,0.523419,0.997937,+0.474518
bus,mAP@0.5:0.95,0.444305,0.828704,+0.384399
truck,Precision,0.030753,0.836066,+0.805313
truck,Recall,0.480000,0.850000,+0.370000
truck,F1,0.057803,0.842975,+0.785173
truck,mAP@0.5,0.022593,0.854296,+0.831703
truck,mAP@0.5:0.95,0.014284,0.651190,+0.636906
license_plate,Precision,0.000009,0.845719,+0.845710
license_plate,Recall,0.000000,0.730000,+0.730000
license_plate,F1,0.000000,0.783610,+0.783610
license_plate,mAP@0.5,0.000000,0.771903,+0.771903
license_plate,mAP@0.5:0.95,0.000000,0.379937,+0.379937
