class,metric,before,after,delta
person,Precision,0.591716,0.743536,+0.151820
person,Recall,0.410000,0.660000,+0.250000
person,F1,0.484376,0.699282,+0.214906
person,mAP@0.5,0.455768,0.735262,+0.279494
person,mAP@0.5:0.95,0.211002,0.381622,+0.170621
bicycle,Precision,0.083117,0.808717,+0.725600
bicycle,Recall,0.040000,0.840000,+0.800000
bicycle,F1,0.054008,0.824062,+0.770053
bicycle,mAP@0.5,0.031697,0.871361,+0.839664
bicycle,mAP@0.5:0.95,0.016014,0.500709,+0.484695
car,Precision,0.838053,0.942512,+0.104459
car,Recall,0.760000,0.910000,+0.150000
car,F1,0.797121,0.925971,+0.128850
car,mAP@0.5,0.815657,0.950237,+0.134580
car,mAP@0.5:0.95,0.546025,0.715767,+0.169741
motorcycle,Precision,0.500000,1.000000,+0.500000
motorcycle,Recall,0.160000,0.500000,+0.340000
motorcycle,F1,0.242424,0.666667,+0.424242
motorcycle,mAP@0.5,0.128506,0.573012,+0.444506
motorcycle,mAP@0.5:0.95,0.082778,0.347382,+0.264604
bus,Precision,0.769231,1.000000,+0.230769
bus,Recall,0.520000,0.940000,+0.420000
bus,F1,0.620525,0.969072,+0.348547
bus,mAP@0.5,0.556687,0.984006,+0.427319
bus,mAP@0.5:0.95,0.470119,0.804355,+0.334236
truck,Precision,0.029372,0.823529,+0.794157
truck,Recall,0.440000,0.850000,+0.410000
truck,F1,0.055069,0.836555,+0.781487
truck,mAP@0.5,0.019599,0.858555,+0.838956
truck,mAP@0.5:0.95,0.013748,0.676338,+0.662590
license_plate,Precision,0.000047,0.817586,+0.817539
license_plate,Recall,0.000000,0.700000,+0.700000
license_plate,F1,0.000000,0.754237,+0.754237
license_plate,mAP@0.5,0.000000,0.728314,+0.728314
license_plate,mAP@0.5:0.95,0.000000,0.345566,+0.345566
