class,metric,before,after,delta
person,Precision,0.613478,0.786885,+0.173407
person,Recall,0.390000,0.650000,+0.260000
person,F1,0.476854,0.711922,+0.235068
person,mAP@0.5,0.446190,0.747485,+0.301295
person,mAP@0.5:0.95,0.202500,0.393995,+0.191495
bicycle,Precision,0.015257,0.858951,+0.843694
bicycle,Recall,0.180000,0.800000,+0.620000
bicycle,F1,0.028130,0.828428,+0.800298
bicycle,mAP@0.5,0.021459,0.891471,+0.870012
bicycle,mAP@0.5:0.95,0.012991,0.541078,+0.528087
car,Precision,0.872982,0.944991,+0.072010
car,Recall,0.750000,0.920000,+0.170000
car,F1,0.806831,0.932328,+0.125497
car,mAP@0.5,0.829933,0.955371,+0.125439
car,mAP@0.5:0.95,0.560124,0.732701,+0.172577
motorcycle,Precision,0.125000,1.000000,+0.875000
motorcycle,Recall,0.330000,0.660000,+0.330000
motorcycle,F1,0.181319,0.795181,+0.613862
motorcycle,mAP@0.5,0.070491,0.702209,+0.631718
motorcycle,mAP@0.5:0.95,0.042464,0.423458,+0.380994
bus,Precision,0.875000,1.000000,+0.125000
bus,Recall,0.630000,1.000000,+0.370000
bus,F1,0.732558,1.000000,+0.267442
bus,mAP@0.5,0.719940,1.000000,+0.280060
bus,mAP@0.5:0.95,0.526906,0.914761,+0.387855
truck,Precision,0.030476,0.850000,+0.819524
truck,Recall,0.400000,0.850000,+0.450000
truck,F1,0.056637,0.850000,+0.793363
truck,mAP@0.5,0.018585,0.842243,+0.823658
truck,mAP@0.5:0.95,0.013006,0.666538,+0.653532
license_plate,Precision,0.000000,0.831953,+0.831953
license_plate,Recall,0.000000,0.740000,+0.740000
license_plate,F1,0.000000,0.783287,+0.783287
license_plate,mAP@0.5,0.000000,0.777829,+0.777829
license_plate,mAP@0.5:0.95,0.000000,0.376585,+0.376585
