epoch,accuracy,loss,lr
0,nan,34.113575,1.5848932e-06
1,0.0,25.864025,2.5118864e-06
2,nan,23.879333,3.9810716e-06
3,0.0,22.163874,6.309573e-06
4,nan,20.225311,1e-05
5,0.0,18.16837,1.5848931e-05
6,nan,15.074072,2.5118863e-05
7,0.12949640287769784,12.12239,3.9810715e-05
8,nan,10.046689,6.309573e-05
9,0.22302158273381295,8.626059,9.999999e-05
10,nan,7.324314,1e-04
11,0.302158273381295,6.1275625,1e-04
12,nan,4.9332623,1e-04
13,0.2517985611510791,4.082337,1e-04
14,nan,3.784966,1e-04
15,0.35251798561151076,3.0452242,1e-04
16,nan,2.6448572,1e-04
17,0.39568345323741005,2.2969642,1e-04
18,nan,1.9938929,1e-04
19,0.41007194244604317,2.0344405,1e-04
20,nan,1.6061223,1e-04
21,0.4316546762589928,1.446055,1e-04
22,nan,1.3382324,1e-04
23,0.39568345323741005,1.0328616,1e-04
24,nan,1.1099496,1e-04
25,0.41007194244604317,1.0486103,1e-04
26,nan,0.8999822,1e-04
27,0.381294964028777,0.9732038,1e-04
28,nan,0.8929623,1e-04
29,0.43884892086330934,0.7455252,1e-04
30,nan,0.78579783,1e-04
31,0.4172661870503597,0.7767803,1e-04
32,nan,0.5780511,1e-04
33,0.38848920863309355,0.5811649,1e-04
34,nan,0.6405328,1e-04
35,0.37410071942446044,0.8163384,1e-04
36,nan,0.9963218,1e-04
37,0.4172661870503597,0.64252037,1e-04
38,nan,0.6464558,1e-04
39,0.4676258992805755,0.53503954,1e-04
40,nan,0.55661285,1e-04
41,0.4244604316546763,0.506241,1e-04
42,nan,0.54377216,1e-04
43,0.43884892086330934,0.47013408,1e-04
44,nan,0.43156967,1e-04
45,0.4460431654676259,0.41255397,1e-04
46,nan,0.4575185,1e-04
47,0.4460431654676259,0.48547858,1e-04
48,nan,0.4126275,1e-04
49,0.4676258992805755,0.46981576,1e-04
50,nan,0.5091514,9.120108e-05
51,0.4316546762589928,0.44161728,8.3176375e-05
52,nan,0.33874637,7.585776e-05
53,0.4676258992805755,0.286842,6.9183094e-05
54,nan,0.31416678,6.309574e-05
55,0.43884892086330934,0.34622297,5.754399e-05
56,nan,0.30572024,5.2480744e-05
57,0.460431654676259,0.25697953,4.786301e-05
58,nan,0.25369376,4.3651584e-05
59,0.48201438848920863,0.27882326,3.9810715e-05
60,nan,0.2698794,3.6307803e-05
61,0.4748201438848921,0.33865917,3.3113112e-05
62,nan,0.24677853,3.0199517e-05
63,0.4748201438848921,0.23892047,2.7542286e-05
64,nan,0.24921212,2.5118863e-05
65,0.48201438848920863,0.23502378,2.2908676e-05
66,nan,0.27403077,2.0892961e-05
67,0.4676258992805755,0.26796994,1.9054607e-05
68,nan,0.2417346,1.7378008e-05
69,0.48201438848920863,0.25011852,1.5848931e-05
70,nan,0.22635676,1.4454397e-05
71,0.4676258992805755,0.25780687,1.3182567e-05
72,nan,0.23341662,1.2022644e-05
73,0.4748201438848921,0.23063748,1.0964782e-05
74,nan,0.23849073,1e-05
75,0.4676258992805755,0.23886105,9.120108e-06
76,nan,0.22926942,8.317637e-06
77,0.4676258992805755,0.22491847,7.5857756e-06
78,nan,0.22444832,6.9183097e-06
79,0.460431654676259,0.2359001,6.3095736e-06
80,nan,0.22660096,5.7543994e-06
81,0.460431654676259,0.21755433,5.2480746e-06
82,nan,0.22836082,4.786301e-06
83,0.4676258992805755,0.24659611,4.3651585e-06
84,nan,0.21977776,3.9810716e-06
85,0.4748201438848921,0.22492476,3.6307806e-06
86,nan,0.22361496,3.3113113e-06
87,0.4748201438848921,0.22141099,3.0199517e-06
88,nan,0.24476698,2.7542287e-06
89,0.4676258992805755,0.2956287,2.5118864e-06
90,nan,0.22098304,2.2908675e-06
91,0.4676258992805755,0.24592787,2.0892962e-06
92,nan,0.22992264,1.9054607e-06
93,0.4676258992805755,0.24055742,1.7378009e-06
94,nan,0.22261493,1.5848932e-06
95,0.4676258992805755,0.23599073,1.4454398e-06
96,nan,0.2301959,1.3182567e-06
97,0.4676258992805755,0.2155499,1.2022645e-06
98,nan,0.21175356,1.0964782e-06
99,0.4676258992805755,0.23223455,1e-06
