class,metric,before,after,delta
person,Precision,0.294121,0.742731,+0.448611
person,Recall,0.467654,0.704655,+0.237001
person,F1,0.361122,0.723193,+0.362071
person,mAP@0.5,0.194937,0.736102,+0.541165
person,mAP@0.5:0.95,0.123882,0.418618,+0.294736
bicycle,Precision,0.633520,0.981298,+0.347778
bicycle,Recall,0.576144,0.995453,+0.419308
bicycle,F1,0.603472,0.988325,+0.384853
bicycle,mAP@0.5,0.521695,0.992522,+0.470826
bicycle,mAP@0.5:0.95,0.337620,0.926919,+0.589299
car,Precision,0.374081,0.888626,+0.514545
car,Recall,0.307552,0.686970,+0.379418
car,F1,0.337570,0.774893,+0.437323
car,mAP@0.5,0.183818,0.765286,+0.581468
car,mAP@0.5:0.95,0.096235,0.458941,+0.362706
motorcycle,Precision,0.000000,0.000000,+0.000000
motorcycle,Recall,0.000000,0.000000,+0.000000
motorcycle,F1,0.000000,0.000000,+0.000000
motorcycle,mAP@0.5,0.000000,0.000000,+0.000000
motorcycle,mAP@0.5:0.95,0.000000,0.000000,+0.000000
bus,Precision,0.754532,0.000000,-0.754532
bus,Recall,0.500000,0.000000,-0.500000
bus,F1,0.601445,0.000000,-0.601445
bus,mAP@0.5,0.495000,0.000000,-0.495000
bus,mAP@0.5:0.95,0.420500,0.000000,-0.420500
truck,Precision,0.041831,0.554931,+0.513100
truck,Recall,0.184211,0.820359,+0.636149
truck,F1,0.068180,0.662032,+0.593852
truck,mAP@0.5,0.033880,0.780021,+0.746141
truck,mAP@0.5:0.95,0.022949,0.485540,+0.462590
