class,metric,before,after,delta
person,Precision,0.568198,0.788306,+0.220108
person,Recall,0.400756,0.591303,+0.190547
person,F1,0.470009,0.675739,+0.205729
person,mAP@0.5,0.304165,0.650992,+0.346827
person,mAP@0.5:0.95,0.157629,0.322704,+0.165074
bicycle,Precision,0.735279,0.991984,+0.256706
bicycle,Recall,0.618885,0.995975,+0.377090
bicycle,F1,0.672080,0.993976,+0.321896
bicycle,mAP@0.5,0.662237,0.992493,+0.330255
bicycle,mAP@0.5:0.95,0.433173,0.943209,+0.510036
car,Precision,0.510160,0.888557,+0.378397
car,Recall,0.413604,0.897422,+0.483818
car,F1,0.456836,0.892967,+0.436132
car,mAP@0.5,0.295022,0.913112,+0.618089
car,mAP@0.5:0.95,0.153478,0.611042,+0.457564
motorcycle,Precision,,,
motorcycle,Recall,,,
motorcycle,F1,,,
motorcycle,mAP@0.5,,,
motorcycle,mAP@0.5:0.95,,,
bus,Precision,1.000000,0.853425,-0.146575
bus,Recall,0.500000,0.750000,+0.250000
bus,F1,0.666667,0.798377,+0.131710
bus,mAP@0.5,0.495000,0.745000,+0.250000
bus,mAP@0.5:0.95,0.420500,0.496000,+0.075500
truck,Precision,0.046278,1.000000,+0.953722
truck,Recall,0.454545,0.896343,+0.441797
truck,F1,0.084004,0.945338,+0.861335
truck,mAP@0.5,0.096143,0.905000,+0.808857
truck,mAP@0.5:0.95,0.070207,0.647412,+0.577205
