class,metric,before,after,delta
person,Precision,0.575174,0.679797,+0.104623
person,Recall,0.419503,0.614121,+0.194618
person,F1,0.485157,0.645292,+0.160136
person,mAP@0.5,0.317864,0.647569,+0.329704
person,mAP@0.5:0.95,0.170233,0.340646,+0.170413
bicycle,Precision,0.814132,0.989735,+0.175604
bicycle,Recall,0.576214,0.997049,+0.420835
bicycle,F1,0.674816,0.993379,+0.318562
bicycle,mAP@0.5,0.686724,0.993092,+0.306368
bicycle,mAP@0.5:0.95,0.446799,0.936386,+0.489586
car,Precision,0.405623,0.685335,+0.279712
car,Recall,0.347029,0.887105,+0.540076
car,F1,0.374045,0.773275,+0.399230
car,mAP@0.5,0.211908,0.867034,+0.655126
car,mAP@0.5:0.95,0.109155,0.525047,+0.415892
motorcycle,Precision,,,
motorcycle,Recall,,,
motorcycle,F1,,,
motorcycle,mAP@0.5,,,
motorcycle,mAP@0.5:0.95,,,
bus,Precision,0.751873,0.000000,-0.751873
bus,Recall,0.500000,0.000000,-0.500000
bus,F1,0.600599,0.000000,-0.600599
bus,mAP@0.5,0.495000,0.000000,-0.495000
bus,mAP@0.5:0.95,0.420500,0.000000,-0.420500
truck,Precision,0.032974,1.000000,+0.967026
truck,Recall,0.454545,0.925078,+0.470532
truck,F1,0.061488,0.961081,+0.899593
truck,mAP@0.5,0.065857,0.995000,+0.929143
truck,mAP@0.5:0.95,0.048768,0.723097,+0.674330
