epoch,accuracy,loss,lr
0,nan,36.0789,1.5848932e-06
1,0.0,25.768692,2.5118864e-06
2,nan,23.688194,3.9810716e-06
3,0.0,21.866446,6.309573e-06
4,nan,19.855234,1e-05
5,0.0,17.253344,1.5848931e-05
6,nan,14.419264,2.5118863e-05
7,0.06206896551724138,11.933909,3.9810715e-05
8,nan,10.065365,6.309573e-05
9,0.2413793103448276,8.386934,9.999999e-05
10,nan,7.582366,1e-04
11,0.2413793103448276,6.3803926,1e-04
12,nan,5.0930376,1e-04
13,0.2827586206896552,4.306841,1e-04
14,nan,3.5384848,1e-04
15,0.38620689655172413,3.0931492,1e-04
16,nan,2.407348,1e-04
17,0.3586206896551724,2.0925329,1e-04
18,nan,1.9927739,1e-04
19,0.4068965517241379,1.7377838,1e-04
20,nan,2.2900639,1e-04
21,0.3448275862068966,2.029864,1e-04
22,nan,1.6237304,1e-04
23,0.33793103448275863,2.4492574,1e-04
24,nan,1.8000892,1e-04
25,0.4068965517241379,1.1237873,1e-04
26,nan,1.0659295,1e-04
27,0.46206896551724136,1.0961125,1e-04
28,nan,1.225996,1e-04
29,0.42758620689655175,0.8770811,1e-04
30,nan,0.9264732,1e-04
31,0.43448275862068964,1.0286233,1e-04
32,nan,1.1578263,1e-04
33,0.42758620689655175,0.79563004,1e-04
34,nan,0.64429456,1e-04
35,0.47586206896551725,0.6642487,1e-04
36,nan,0.7011458,1e-04
37,0.42758620689655175,0.60640013,1e-04
38,nan,0.63083875,1e-04
39,0.41379310344827586,0.6181751,1e-04
40,nan,0.76414967,1e-04
41,0.43448275862068964,0.62311834,1e-04
42,nan,0.6037011,1e-04
43,0.4206896551724138,0.5678183,1e-04
44,nan,0.6679292,1e-04
45,0.4413793103448276,0.54608256,1e-04
46,nan,0.5304014,1e-04
47,0.46206896551724136,0.44879937,1e-04
48,nan,0.48350704,1e-04
49,0.45517241379310347,0.5192319,1e-04
50,nan,0.46031326,9.120108e-05
51,0.43448275862068964,0.45585838,8.3176375e-05
52,nan,0.41317722,7.585776e-05
53,0.47586206896551725,0.45878303,6.9183094e-05
54,nan,0.484183,6.309574e-05
55,0.4482758620689655,0.42162067,5.754399e-05
56,nan,0.34246257,5.2480744e-05
57,0.4896551724137931,0.33285066,4.786301e-05
58,nan,0.4057554,4.3651584e-05
59,0.4827586206896552,0.29609543,3.9810715e-05
60,nan,0.2940889,3.6307803e-05
61,0.503448275862069,0.29887456,3.3113112e-05
62,nan,0.31691113,3.0199517e-05
63,0.47586206896551725,0.29090458,2.7542286e-05
64,nan,0.30281305,2.5118863e-05
65,0.496551724137931,0.25753796,2.2908676e-05
66,nan,0.2998332,2.0892961e-05
67,0.4896551724137931,0.25995755,1.9054607e-05
68,nan,0.25912327,1.7378008e-05
69,0.4896551724137931,0.25156745,1.5848931e-05
70,nan,0.27104858,1.4454397e-05
71,0.4896551724137931,0.2418515,1.3182567e-05
72,nan,0.30216035,1.2022644e-05
73,0.5103448275862069,0.36393973,1.0964782e-05
74,nan,0.26290622,1e-05
75,0.47586206896551725,0.2813564,9.120108e-06
76,nan,0.3063501,8.317637e-06
77,0.47586206896551725,0.25181273,7.5857756e-06
78,nan,0.2560361,6.9183097e-06
79,0.47586206896551725,0.27360243,6.3095736e-06
80,nan,0.30919188,5.7543994e-06
81,0.47586206896551725,0.28516582,5.2480746e-06
82,nan,0.31910297,4.786301e-06
83,0.47586206896551725,0.24692176,4.3651585e-06
84,nan,0.28725016,3.9810716e-06
85,0.4827586206896552,0.24464653,3.6307806e-06
86,nan,0.2888256,3.3113113e-06
87,0.4827586206896552,0.2329201,3.0199517e-06
88,nan,0.2761771,2.7542287e-06
89,0.47586206896551725,0.28668538,2.5118864e-06
90,nan,0.28445634,2.2908675e-06
91,0.47586206896551725,0.29691163,2.0892962e-06
92,nan,0.2808498,1.9054607e-06
93,0.47586206896551725,0.25405556,1.7378009e-06
94,nan,0.23308136,1.5848932e-06
95,0.4827586206896552,0.24368252,1.4454398e-06
96,nan,0.25725928,1.3182567e-06
97,0.4827586206896552,0.2934092,1.2022645e-06
98,nan,0.2517856,1.0964782e-06
99,0.47586206896551725,0.24823537,1e-06
