metric,baseline,trained,delta,pct_change,improvement
seq_accuracy,0.000000,0.513889,+0.513889,—,↑
char_accuracy,0.529058,0.829293,+0.300235,+56.7%,↑
cer_mean,0.487103,0.170536,-0.316567,-65.0%,↑
cer_median,0.428571,0.000000,-0.428571,-100.0%,↑
edit_distance_mean,3.263889,1.173611,-2.090278,-64.0%,↑
per_position_accuracy_p0,0.097222,0.805556,+0.708333,+728.6%,·
per_position_accuracy_p1,0.333333,0.631944,+0.298611,+89.6%,·
per_position_accuracy_p10,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p11,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p2,0.180556,0.590278,+0.409722,+226.9%,·
per_position_accuracy_p3,0.625000,0.750000,+0.125000,+20.0%,·
per_position_accuracy_p4,0.604167,0.736111,+0.131944,+21.8%,·
per_position_accuracy_p5,0.661654,0.766917,+0.105263,+15.9%,·
per_position_accuracy_p6,0.580153,0.702290,+0.122137,+21.1%,·
per_position_accuracy_p7,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p8,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p9,0.000000,0.000000,+0.000000,—,·
