metric,baseline,trained,delta,pct_change,improvement
seq_accuracy,0.000000,0.470588,+0.470588,—,↑
char_accuracy,0.530851,0.800429,+0.269578,+50.8%,↑
cer_mean,0.480042,0.197479,-0.282563,-58.9%,↑
cer_median,0.428571,0.142857,-0.285714,-66.7%,↑
edit_distance_mean,3.242647,1.367647,-1.875000,-57.8%,↑
per_position_accuracy_p0,0.117647,0.772059,+0.654412,+556.2%,·
per_position_accuracy_p1,0.345588,0.595588,+0.250000,+72.3%,·
per_position_accuracy_p10,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p11,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p2,0.191176,0.573529,+0.382353,+200.0%,·
per_position_accuracy_p3,0.639706,0.794118,+0.154412,+24.1%,·
per_position_accuracy_p4,0.676471,0.816176,+0.139706,+20.7%,·
per_position_accuracy_p5,0.648000,0.768000,+0.120000,+18.5%,·
per_position_accuracy_p6,0.592000,0.760000,+0.168000,+28.4%,·
per_position_accuracy_p7,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p8,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p9,0.000000,0.000000,+0.000000,—,·
