class,metric,before,after,delta
person,Precision,,0.632052,
person,Recall,,0.520000,
person,F1,,0.570577,
person,mAP@0.5,,0.557372,
person,mAP@0.5:0.95,,0.230776,
bicycle,Precision,,0.627530,
bicycle,Recall,,0.850000,
bicycle,F1,,0.722017,
bicycle,mAP@0.5,,0.756806,
bicycle,mAP@0.5:0.95,,0.382852,
car,Precision,,0.909439,
car,Recall,,0.840000,
car,F1,,0.873341,
car,mAP@0.5,,0.901543,
car,mAP@0.5:0.95,,0.609723,
motorcycle,Precision,,0.004773,
motorcycle,Recall,,0.500000,
motorcycle,F1,,0.009456,
motorcycle,mAP@0.5,,0.002410,
motorcycle,mAP@0.5:0.95,,0.000425,
bus,Precision,,0.846154,
bus,Recall,,0.680000,
bus,F1,,0.754032,
bus,mAP@0.5,,0.749903,
bus,mAP@0.5:0.95,,0.602862,
truck,Precision,,0.760000,
truck,Recall,,0.860000,
truck,F1,,0.806914,
truck,mAP@0.5,,0.802714,
truck,mAP@0.5:0.95,,0.574439,
license_plate,Precision,,0.770171,
license_plate,Recall,,0.560000,
license_plate,F1,,0.648482,
license_plate,mAP@0.5,,0.598965,
license_plate,mAP@0.5:0.95,,0.237431,
all,Precision,,0.650017,
all,Recall,,0.687143,
all,F1,,0.626403,
all,mAP@0.5,,0.624244,
all,mAP@0.5:0.95,,0.376930,
