class,metric,before,after,delta
person,Precision,,0.322744,
person,Recall,,0.300000,
person,F1,,0.310957,
person,mAP@0.5,,0.226761,
person,mAP@0.5:0.95,,0.082258,
bicycle,Precision,,0.424242,
bicycle,Recall,,0.520000,
bicycle,F1,,0.467266,
bicycle,mAP@0.5,,0.436562,
bicycle,mAP@0.5:0.95,,0.155331,
car,Precision,,0.735379,
car,Recall,,0.690000,
car,F1,,0.711967,
car,mAP@0.5,,0.737892,
car,mAP@0.5:0.95,,0.473452,
motorcycle,Precision,,0.000000,
motorcycle,Recall,,0.000000,
motorcycle,F1,,0.000000,
motorcycle,mAP@0.5,,0.000000,
motorcycle,mAP@0.5:0.95,,0.000000,
bus,Precision,,0.571429,
bus,Recall,,0.260000,
bus,F1,,0.357388,
bus,mAP@0.5,,0.244980,
bus,mAP@0.5:0.95,,0.194106,
truck,Precision,,0.500000,
truck,Recall,,0.420000,
truck,F1,,0.456522,
truck,mAP@0.5,,0.317670,
truck,mAP@0.5:0.95,,0.148668,
license_plate,Precision,,0.649145,
license_plate,Recall,,0.450000,
license_plate,F1,,0.531532,
license_plate,mAP@0.5,,0.455130,
license_plate,mAP@0.5:0.95,,0.168514,
all,Precision,,0.457563,
all,Recall,,0.377143,
all,F1,,0.405090,
all,mAP@0.5,,0.345571,
all,mAP@0.5:0.95,,0.174618,
