class,metric,before,after,delta
person,Precision,0.283726,0.794718,0.510992
person,Recall,0.200000,0.670000,0.470000
person,F1,0.234617,0.727049,0.492432
person,mAP@0.5,0.146760,0.741189,0.594429
person,mAP@0.5:0.95,0.060766,0.481583,0.420817
bicycle,Precision,0.013571,0.600169,0.586598
bicycle,Recall,0.030000,0.420000,0.390000
bicycle,F1,0.018688,0.494175,0.475487
bicycle,mAP@0.5,0.003237,0.461449,0.458213
bicycle,mAP@0.5:0.95,0.000632,0.252038,0.251406
car,Precision,0.385998,0.864062,0.478064
car,Recall,0.190000,0.740000,0.550000
car,F1,0.254652,0.797233,0.542581
car,mAP@0.5,0.158185,0.809757,0.651572
car,mAP@0.5:0.95,0.091359,0.531298,0.439939
motorcycle,Precision,0.030923,0.662463,0.631540
motorcycle,Recall,0.030000,0.550000,0.520000
motorcycle,F1,0.030455,0.601016,0.570561
motorcycle,mAP@0.5,0.008649,0.584391,0.575742
motorcycle,mAP@0.5:0.95,0.003226,0.300216,0.296989
bus,Precision,0.220234,0.865650,0.645417
bus,Recall,0.170000,0.730000,0.560000
bus,F1,0.191884,0.792059,0.600176
bus,mAP@0.5,0.099033,0.815748,0.716716
bus,mAP@0.5:0.95,0.062272,0.640236,0.577965
truck,Precision,0.084256,0.705152,0.620896
truck,Recall,0.070000,0.570000,0.500000
truck,F1,0.076469,0.630414,0.553944
truck,mAP@0.5,0.023288,0.645906,0.622619
truck,mAP@0.5:0.95,0.012075,0.462188,0.450113
all,Precision,0.169785,0.748702,0.578918
all,Recall,0.115000,0.613333,0.498333
all,F1,0.134461,0.673658,0.539197
all,mAP@0.5,0.073192,0.676407,0.603215
all,mAP@0.5:0.95,0.038388,0.444593,0.406205
