epoch,accuracy,loss,lr
0,nan,46.55304,1.5848932e-06
1,0.0,26.301273,2.5118864e-06
2,nan,24.423231,3.9810716e-06
3,0.0,22.674639,6.309573e-06
4,nan,21.061022,1e-05
5,0.0,19.484999,1.5848931e-05
6,nan,17.554173,2.5118863e-05
7,0.058823529411764705,15.304543,3.9810715e-05
8,nan,12.143906,6.309573e-05
9,0.3137254901960784,9.816162,9.999999e-05
10,nan,7.792346,1e-04
11,0.3627450980392157,6.538443,1e-04
12,nan,5.3209577,1e-04
13,0.4803921568627451,4.0746136,1e-04
14,nan,3.6041148,1e-04
15,0.47058823529411764,2.9254901,1e-04
16,nan,2.4670863,1e-04
17,0.46078431372549017,2.2270749,1e-04
18,nan,1.7019801,1e-04
19,0.49019607843137253,1.8889668,1e-04
20,nan,1.7187289,1e-04
21,0.4803921568627451,1.5469267,1e-04
22,nan,1.2795486,1e-04
23,0.49019607843137253,1.1882013,1e-04
24,nan,0.92579067,1e-04
25,0.49019607843137253,1.1374022,1e-04
26,nan,1.0265386,1e-04
27,0.5,0.9924122,1e-04
28,nan,1.0635141,1e-04
29,0.5392156862745098,0.9023766,1e-04
30,nan,0.7108869,1e-04
31,0.5588235294117647,0.65196985,1e-04
32,nan,0.57398427,1e-04
33,0.5392156862745098,0.72082824,1e-04
34,nan,0.70926774,1e-04
35,0.5294117647058824,0.8331851,1e-04
36,nan,0.5285507,1e-04
37,0.5294117647058824,0.86359173,1e-04
38,nan,0.5600082,1e-04
39,0.5392156862745098,0.56942034,1e-04
40,nan,0.5990925,1e-04
41,0.5196078431372549,0.51974285,1e-04
42,nan,0.69338524,1e-04
43,0.5098039215686274,0.55862516,1e-04
44,nan,0.61903465,1e-04
45,0.5098039215686274,0.41634265,1e-04
46,nan,0.5001129,1e-04
47,0.5098039215686274,0.42388907,1e-04
48,nan,0.36981642,1e-04
49,0.5490196078431373,0.411607,1e-04
50,nan,0.33301088,9.120108e-05
51,0.5294117647058824,0.3319835,8.3176375e-05
52,nan,0.41941848,7.585776e-05
53,0.5196078431372549,0.42109343,6.9183094e-05
54,nan,0.32554337,6.309574e-05
55,0.5490196078431373,0.38287264,5.754399e-05
56,nan,0.31833178,5.2480744e-05
57,0.5490196078431373,0.35998017,4.786301e-05
58,nan,0.30746046,4.3651584e-05
59,0.5490196078431373,0.25679997,3.9810715e-05
60,nan,0.36408803,3.6307803e-05
61,0.5490196078431373,0.29754463,3.3113112e-05
62,nan,0.2785547,3.0199517e-05
63,0.5490196078431373,0.27117702,2.7542286e-05
64,nan,0.2586384,2.5118863e-05
65,0.5392156862745098,0.24669063,2.2908676e-05
66,nan,0.26689646,2.0892961e-05
67,0.5392156862745098,0.3158687,1.9054607e-05
68,nan,0.27630666,1.7378008e-05
69,0.5392156862745098,0.27800715,1.5848931e-05
70,nan,0.25972393,1.4454397e-05
71,0.5392156862745098,0.3049564,1.3182567e-05
72,nan,0.279429,1.2022644e-05
73,0.5392156862745098,0.2288442,1.0964782e-05
74,nan,0.29548043,1e-05
75,0.5392156862745098,0.22134243,9.120108e-06
76,nan,0.2741575,8.317637e-06
77,0.5392156862745098,0.29911077,7.5857756e-06
78,nan,0.27948004,6.9183097e-06
79,0.5392156862745098,0.23117326,6.3095736e-06
80,nan,0.23630513,5.7543994e-06
81,0.5392156862745098,0.24968411,5.2480746e-06
82,nan,0.24771267,4.786301e-06
83,0.5392156862745098,0.22189745,4.3651585e-06
84,nan,0.23251672,3.9810716e-06
85,0.5392156862745098,0.24436095,3.6307806e-06
86,nan,0.24738604,3.3113113e-06
87,0.5392156862745098,0.23236702,3.0199517e-06
88,nan,0.23266737,2.7542287e-06
89,0.5392156862745098,0.24524876,2.5118864e-06
90,nan,0.22006644,2.2908675e-06
91,0.5392156862745098,0.25924134,2.0892962e-06
92,nan,0.2534655,1.9054607e-06
93,0.5392156862745098,0.2645957,1.7378009e-06
94,nan,0.24783856,1.5848932e-06
95,0.5392156862745098,0.22498553,1.4454398e-06
96,nan,0.2116666,1.3182567e-06
97,0.5392156862745098,0.22172,1.2022645e-06
98,nan,0.2363062,1.0964782e-06
99,0.5392156862745098,0.21934076,1e-06
