class,metric,before,after,delta
person,Precision,0.528823,0.113875,-0.414948
person,Recall,0.538371,0.422764,-0.115607
person,F1,0.533554,0.179421,-0.354133
person,mAP@0.5,0.384051,0.102551,-0.281500
person,mAP@0.5:0.95,0.190004,0.046921,-0.143084
bicycle,Precision,1.000000,1.000000,+0.000000
bicycle,Recall,0.622639,0.000000,-0.622639
bicycle,F1,0.767440,0.000000,-0.767440
bicycle,mAP@0.5,0.665000,0.000000,-0.665000
bicycle,mAP@0.5:0.95,0.432500,0.000000,-0.432500
car,Precision,0.532087,0.457575,-0.074513
car,Recall,0.521022,0.939394,+0.418372
car,F1,0.526497,0.615394,+0.088897
car,mAP@0.5,0.378230,0.673485,+0.295255
car,mAP@0.5:0.95,0.199001,0.426600,+0.227599
motorcycle,Precision,,,
motorcycle,Recall,,,
motorcycle,F1,,,
motorcycle,mAP@0.5,,,
motorcycle,mAP@0.5:0.95,,,
bus,Precision,1.000000,1.000000,+0.000000
bus,Recall,0.333333,0.000000,-0.333333
bus,F1,0.500000,0.000000,-0.500000
bus,mAP@0.5,0.335000,0.000000,-0.335000
bus,mAP@0.5:0.95,0.268000,0.000000,-0.268000
truck,Precision,,,
truck,Recall,,,
truck,F1,,,
truck,mAP@0.5,,,
truck,mAP@0.5:0.95,,,
