class,metric,before,after,delta
person,Precision,0.528823,0.109265,-0.419558
person,Recall,0.538371,0.463415,-0.074957
person,F1,0.533554,0.176835,-0.356719
person,mAP@0.5,0.384051,0.103469,-0.280582
person,mAP@0.5:0.95,0.190004,0.045439,-0.144565
bicycle,Precision,1.000000,1.000000,+0.000000
bicycle,Recall,0.622639,0.000000,-0.622639
bicycle,F1,0.767440,0.000000,-0.767440
bicycle,mAP@0.5,0.665000,0.000000,-0.665000
bicycle,mAP@0.5:0.95,0.432500,0.000000,-0.432500
car,Precision,0.532087,0.160978,-0.371110
car,Recall,0.521022,0.735758,+0.214735
car,F1,0.526497,0.264159,-0.262337
car,mAP@0.5,0.378230,0.197627,-0.180603
car,mAP@0.5:0.95,0.199001,0.104743,-0.094258
motorcycle,Precision,,,
motorcycle,Recall,,,
motorcycle,F1,,,
motorcycle,mAP@0.5,,,
motorcycle,mAP@0.5:0.95,,,
bus,Precision,1.000000,1.000000,+0.000000
bus,Recall,0.333333,0.000000,-0.333333
bus,F1,0.500000,0.000000,-0.500000
bus,mAP@0.5,0.335000,0.000000,-0.335000
bus,mAP@0.5:0.95,0.268000,0.000000,-0.268000
truck,Precision,,,
truck,Recall,,,
truck,F1,,,
truck,mAP@0.5,,,
truck,mAP@0.5:0.95,,,
