class,metric,before,after,delta
person,Precision,0.794245,0.819187,+0.024942
person,Recall,0.610000,0.680000,+0.070000
person,F1,0.690036,0.743132,+0.053097
person,mAP@0.5,0.681077,0.759663,+0.078586
person,mAP@0.5:0.95,0.483894,0.524044,+0.040150
bicycle,Precision,0.429939,0.755506,+0.325567
bicycle,Recall,0.240000,0.510000,+0.270000
bicycle,F1,0.308044,0.608939,+0.300895
bicycle,mAP@0.5,0.238744,0.597323,+0.358579
bicycle,mAP@0.5:0.95,0.144829,0.447465,+0.302635
car,Precision,0.676493,0.852771,+0.176278
car,Recall,0.490000,0.730000,+0.240000
car,F1,0.568339,0.786624,+0.218285
car,mAP@0.5,0.533007,0.796179,+0.263172
car,mAP@0.5:0.95,0.341892,0.537761,+0.195870
motorcycle,Precision,0.471615,0.635708,+0.164093
motorcycle,Recall,0.250000,0.500000,+0.250000
motorcycle,F1,0.326777,0.559746,+0.232969
motorcycle,mAP@0.5,0.244093,0.543966,+0.299873
motorcycle,mAP@0.5:0.95,0.149751,0.301958,+0.152207
bus,Precision,0.835813,0.868118,+0.032305
bus,Recall,0.480000,0.710000,+0.230000
bus,F1,0.609798,0.781138,+0.171340
bus,mAP@0.5,0.570596,0.804405,+0.233809
bus,mAP@0.5:0.95,0.482504,0.651771,+0.169267
truck,Precision,0.529272,0.693392,+0.164121
truck,Recall,0.360000,0.560000,+0.200000
truck,F1,0.428525,0.619598,+0.191073
truck,mAP@0.5,0.403172,0.633174,+0.230002
truck,mAP@0.5:0.95,0.311812,0.473278,+0.161466
