metric,baseline,trained,delta,pct_change,improvement
seq_accuracy,0.000000,0.486111,+0.486111,—,↑
char_accuracy,0.518519,0.808704,+0.290186,+56.0%,↑
cer_mean,0.497024,0.190278,-0.306746,-61.7%,↑
cer_median,0.428571,0.142857,-0.285714,-66.7%,↑
edit_distance_mean,3.340278,1.312500,-2.027778,-60.7%,↑
per_position_accuracy_p0,0.069444,0.770833,+0.701389,+1010.0%,·
per_position_accuracy_p1,0.305556,0.611111,+0.305556,+100.0%,·
per_position_accuracy_p2,0.201389,0.576389,+0.375000,+186.2%,·
per_position_accuracy_p3,0.618056,0.777778,+0.159722,+25.8%,·
per_position_accuracy_p4,0.597222,0.756944,+0.159722,+26.7%,·
per_position_accuracy_p5,0.676692,0.759398,+0.082707,+12.2%,·
per_position_accuracy_p6,0.593985,0.714286,+0.120301,+20.3%,·
per_position_accuracy_p7,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p8,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p9,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p10,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p11,0.000000,0.000000,+0.000000,—,·
