metric,baseline,trained,delta,pct_change,improvement
seq_accuracy,0.000000,0.477941,+0.477941,—,↑
char_accuracy,0.523610,0.802998,+0.279388,+53.4%,↑
cer_mean,0.491527,0.194713,-0.296814,-60.4%,↑
cer_median,0.428571,0.142857,-0.285714,-66.7%,↑
edit_distance_mean,3.338235,1.352941,-1.985294,-59.5%,↑
per_position_accuracy_p0,0.125000,0.779412,+0.654412,+523.5%,·
per_position_accuracy_p1,0.323529,0.588235,+0.264706,+81.8%,·
per_position_accuracy_p10,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p11,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p2,0.198529,0.558824,+0.360294,+181.5%,·
per_position_accuracy_p3,0.632353,0.669118,+0.036765,+5.8%,·
per_position_accuracy_p4,0.639706,0.691176,+0.051471,+8.0%,·
per_position_accuracy_p5,0.650794,0.690476,+0.039683,+6.1%,·
per_position_accuracy_p6,0.640000,0.656000,+0.016000,+2.5%,·
per_position_accuracy_p7,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p8,0.000000,0.000000,+0.000000,—,·
per_position_accuracy_p9,0.000000,0.000000,+0.000000,—,·
